,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRC, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , ,,,, , ,"3,900", , , ,(101,) , , ,23, , , ,0, , , ,(78,) 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,09/20/2020, , , ,0.699, , ,,,, , ,"2,000", , , ,(2,) , , ,24, , , ,22, , , ,0, 
, , Indonesia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.560, , ,,,, , ,"1,800", , , ,(54,) , , ,8, , , ,0, , , ,(46,) 
, , Italy Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.913, , ,,,, , ,"4,600", , , ,(166,) , , ,176, , , ,10, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,03/20/2020, , , ,1.169, , ,,,, , ,"5,000", , , ,(5,) , , ,(19,) , , ,0, , , ,(24,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , ,,,, , ,"15,652", , , ,(445,) , , ,54, , , ,0, , , ,(391,) 
, , Petroleos Mexicanos, , ,1.000, , , ,09/20/2020, , , ,2.488, , ,,,, , ,"4,600", , , ,(176,) , , ,(61,) , , ,0, , , ,(237,) 
CBK, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,12/20/2021, , , ,0.893, , ,,,, , ,"6,200", , , ,14, , , ,19, , , ,33, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,03/20/2020, , , ,1.169, , ,,,, , ,"10,000", , , ,(13,) , , ,(36,) , , ,0, , , ,(49,) 
, , South Africa Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.949, , ,,,, , ,"9,500", , , ,(714,) , , ,339, , , ,0, , , ,(375,) 
, ," Valeant Pharmaceuticals International, Inc.", , ,5.000, , , ,12/20/2020, , , ,8.827, , ,,,, , ,400, , , ,8, , , ,(53,) , , ,0, , , ,(45,) 
DUB, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , ,,,, , ,"7,850", , , ,(210,) , , ,54, , , ,0, , , ,(156,) 
, , Indonesia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.560, , ,,,, , ,"1,300", , , ,(39,) , , ,6, , , ,0, , , ,(33,) 
, , Italy Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.913, , ,,,, , ,"1,800", , , ,(35,) , , ,39, , , ,4, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,06/20/2019, , , ,1.036, , ,,,, , ,"86,900", , , ,51, , , ,(93,) , , ,0, , , ,(42,) 
, , Italy Government International Bond, , ,1.000, , , ,09/20/2019, , , ,1.081, , ,,,, , ,"1,400", , , ,(2,) , , ,0, , , ,0, , , ,(2,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , ,,,, , ,101, , , ,(3,) , , ,0, , , ,0, , , ,(3,) 
, , Morgan Stanley, , ,1.000, , , ,03/20/2021, , , ,0.758, , ,,,, , ,"24,700", , , ,(141,) , , ,393, , , ,252, , , ,0, 
, , Petroleos Mexicanos, , ,1.000, , , ,06/20/2021, , , ,2.796, , ,,,, , ,"1,600", , , ,(131,) , , ,14, , , ,0, , , ,(117,) 
FBF, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , ,,,, , ,"16,100", , , ,(415,) , , ,13, , , ,0, , , ,(402,) 
GST, , American Tower Corp., , ,1.000, , , ,06/20/2021, , , ,1.499, , ,,,, , ,"12,500", , , ,(508,) , , ,252, , , ,0, , , ,(256,) 
, , BHP Billiton Finance USA Ltd., , ,1.000, , , ,12/20/2020, , , ,0.859, , ,,,, , ,"6,100", , , ,(157,) , , ,192, , , ,35, , , ,0, 
, , China Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.080, , ,,,, , ,"16,400", , , ,(125,) , , ,76, , , ,0, , , ,(49,) 
, , Enterprise Products Operating LLC, , ,1.000, , , ,06/20/2021, , , ,1.248, , ,,,, , ,"6,000", , , ,(267,) , , ,206, , , ,0, , , ,(61,) 
, ," Gilead Sciences, Inc.", , ,1.000, , , ,06/20/2017, , , ,0.186, , ,,,, , ,"5,000", , , ,(2,) , , ,23, , , ,21, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.366, , ,,,, , ,"64,200", , , ,(701,) , , ,(258,) , , ,0, , , ,(959,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , ,,,, , ,"84,250", , , ,"(2,191",) , , ,87, , , ,0, , , ,"(2,104",) 
, , Morgan Stanley, , ,1.000, , , ,06/20/2020, , , ,0.660, , ,,,, , ,"28,100", , , ,170, , , ,163, , , ,333, , , ,0, 
, , Petrobras Global Finance BV, , ,1.000, , , ,09/20/2019, , , ,3.309, , ,,,, , ,"9,600", , , ,(316,) , , ,(253,) , , ,0, , , ,(569,) 
, , Petroleos Mexicanos, , ,1.000, , , ,09/20/2020, , , ,2.488, , ,,,, , ,"16,000", , , ,(593,) , , ,(232,) , , ,0, , , ,(825,) 
, , Spain Government International Bond, , ,1.000, , , ,06/20/2020, , , ,0.557, , ,,,, , ,"26,600", , , ,253, , , ,155, , , ,408, , , ,0, 
, , Springleaf Finance Corp., , ,5.000, , , ,12/20/2021, , , ,4.353, , ,,,, , ,700, , , ,(23,) , , ,43, , , ,20, , , ,0, 
HUS, , China Government International Bond, , ,1.000, , , ,09/20/2020, , , ,0.911, , ,,,, , ,"8,100", , , ,(24,) , , ,53, , , ,29, , , ,0, 
, , China Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.080, , ,,,, , ,"3,400", , , ,(29,) , , ,19, , , ,0, , , ,(10,) 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , ,,,, , ,"6,000", , , ,(136,) , , ,16, , , ,0, , , ,(120,) 
, , Italy Government International Bond, , ,1.000, , , ,12/20/2020, , , ,1.285, , ,,,, , ,200, , , ,2, , , ,(4,) , , ,0, , , ,(2,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , ,,,, , ,"17,747", , , ,(470,) , , ,27, , , ,0, , , ,(443,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2019, , , ,3.095, , ,,,, , ,"5,400", , , ,(224,) , , ,(42,) , , ,0, , , ,(266,) 
JPM, , China Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.080, , ,,,, , ,800, , , ,(4,) , , ,2, , , ,0, , , ,(2,) 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , , ,EUR, , , ,"2,100", , , ,(30,) , , ,32, , , ,2, , , ,0, 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,06/20/2021, , , ,0.819, , , ,$, , , ,"12,200", , , ,(13,) , , ,112, , , ,99, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,06/20/2020, , , ,1.214, , ,,,, , ,"5,000", , , ,(4,) , , ,(30,) , , ,0, , , ,(34,) 
, , Italy Government International Bond, , ,1.000, , , ,12/20/2020, , , ,1.285, , ,,,, , ,"13,800", , , ,(21,) , , ,(122,) , , ,0, , , ,(143,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , ,,,, , ,"11,900", , , ,(276,) , , ,(21,) , , ,0, , , ,(297,) 
, , Morgan Stanley, , ,1.000, , , ,06/20/2020, , , ,0.660, , ,,,, , ,"12,000", , , ,61, , , ,81, , , ,142, , , ,0, 
, , Petroleos Mexicanos, , ,1.000, , , ,09/20/2020, , , ,2.488, , ,,,, , ,"2,800", , , ,(113,) , , ,(31,) , , ,0, , , ,(144,) 
, , Petroleos Mexicanos, , ,1.000, , , ,12/20/2021, , , ,2.969, , ,,,, , ,"8,250", , , ,(704,) , , ,(20,) , , ,0, , , ,(724,) 
MYC, , China Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.080, , ,,,, , ,"9,200", , , ,(62,) , , ,34, , , ,0, , , ,(28,) 
, , Enterprise Products Operating LLC, , ,1.000, , , ,06/20/2021, , , ,1.248, , ,,,, , ,"24,000", , , ,(716,) , , ,473, , , ,0, , , ,(243,) 
, , Italy Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.913, , ,,,, , ,"17,500", , , ,(343,) , , ,380, , , ,37, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,03/20/2019, , , ,0.981, , ,,,, , ,"2,900", , , ,3, , , ,(1,) , , ,2, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,06/20/2019, , , ,1.036, , ,,,, , ,"44,400", , , ,(87,) , , ,66, , , ,0, , , ,(21,) 
, , Italy Government International Bond, , ,1.000, , , ,06/20/2020, , , ,1.214, , ,,,, , ,"10,100", , , ,(12,) , , ,(56,) , , ,0, , , ,(68,) 
, , ONEOK Partners LP, , ,1.000, , , ,06/20/2021, , , ,1.612, , ,,,, , ,"10,000", , , ,(898,) , , ,646, , , ,0, , , ,(252,) 
, , Pioneer Natural Resources Co., , ,1.000, , , ,12/20/2020, , , ,0.781, , ,,,, , ,"4,500", , , ,(389,) , , ,428, , , ,39, , , ,0, 
, , Spain Government International Bond, , ,1.000, , , ,06/20/2020, , , ,0.557, , ,,,, , ,"25,000", , , ,221, , , ,163, , , ,384, , , ,0, 
NGF, , South Africa Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.949, , ,,,, , ,"9,500", , , ,(705,) , , ,330, , , ,0, , , ,(375,) 
UAG, , China Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.080, , ,,,, , ,"4,100", , , ,(33,) , , ,21, , , ,0, , , ,(12,) 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , ,,,, , ,"7,650", , , ,(208,) , , ,56, , , ,0, , , ,(152,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
,, ,,,, ,,,, ,,,, ,,,, ,$,"  (17,116",) , ,$,"  3,872", , ,$,"  2,572", , ,$,"  (15,816",) 
, ,, ,,,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
