,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , Colombia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.632, , , ,"7,660", , , ,(278,) , , ,56, , , ,0, , , ,(222,) 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , ,EUR,"13,990", , , ,(207,) , , ,222, , , ,15, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , ,$,"17,300", , , ,(565,) , , ,133, , , ,0, , , ,(432,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2018, , , ,2.166, , , ,"2,800", , , ,(205,) , , ,159, , , ,0, , , ,(46,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2019, , , ,3.095, , , ,"16,500", , , ,(551,) , , ,(261,) , , ,0, , , ,(812,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2019, , , ,3.483, , , ,"37,644", , , ,"(2,301",) , , ,(299,) , , ,0, , , ,"(2,600",) 
, , Petrobras Global Finance BV, , ,1.000, , , ,03/20/2020, , , ,3.710, , , ,"14,000", , , ,"(1,459",) , , ,325, , , ,0, , , ,"(1,134",) 
, , Petrobras Global Finance BV, , ,1.000, , , ,09/20/2020, , , ,4.072, , , ,"4,200", , , ,(429,) , , ,(8,) , , ,0, , , ,(437,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2021, , , ,4.502, , , ,"3,500", , , ,(851,) , , ,368, , , ,0, , , ,(483,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2021, , , ,4.729, , , ,"1,100", , , ,(162,) , , ,(14,) , , ,0, , , ,(176,) 
, , Saudi Arabia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.130, , , ,"2,600", , , ,(18,) , , ,3, , , ,0, , , ,(15,) 
BRC, , Colombia Government International Bond, , ,1.000, , , ,03/20/2019, , , ,0.823, , , ,"12,900", , , ,(35,) , , ,90, , , ,55, , , ,0, 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , , ,"6,400", , , ,(191,) , , ,64, , , ,0, , , ,(127,) 
, , Colombia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.632, , , ,"26,420", , , ,(912,) , , ,147, , , ,0, , , ,(765,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , , ,"10,500", , , ,(320,) , , ,58, , , ,0, , , ,(262,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2019, , , ,3.095, , , ,"10,100", , , ,(329,) , , ,(168,) , , ,0, , , ,(497,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2019, , , ,3.483, , , ,"34,913", , , ,"(3,208",) , , ,797, , , ,0, , , ,"(2,411",) 
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2021, , , ,4.502, , , ,"27,700", , , ,"(6,410",) , , ,"2,587", , , ,0, , , ,"(3,823",) 
, , Petroleos Mexicanos, , ,1.000, , , ,12/20/2021, , , ,2.969, , , ,"7,400", , , ,(622,) , , ,(27,) , , ,0, , , ,(649,) 
, , Russia Government International Bond, , ,1.000, , , ,03/20/2019, , , ,0.691, , , ,"2,400", , , ,(66,) , , ,83, , , ,17, , , ,0, 
, , Russia Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.814, , , ,"24,800", , , ,(798,) , , ,920, , , ,122, , , ,0, 
, , Russia Government International Bond, , ,1.000, , , ,12/20/2020, , , ,1.403, , , ,"63,750", , , ,"(4,027",) , , ,"3,074", , , ,0, , , ,(953,) 
, , Russia Government International Bond, , ,1.000, , , ,06/20/2024, , , ,2.248, , , ,"37,400", , , ,"(3,684",) , , ,670, , , ,0, , , ,"(3,014",) 
, , Russia Government International Bond, , ,1.000, , , ,09/20/2024, , , ,2.270, , , ,"19,860", , , ,"(1,792",) , , ,120, , , ,0, , , ,"(1,672",) 
, , South Africa Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.949, , , ,"77,200", , , ,"(4,599",) , , ,"1,555", , , ,0, , , ,"(3,044",) 
, , South Africa Government International Bond, , ,1.000, , , ,12/20/2021, , , ,2.140, , , ,"15,400", , , ,"(1,036",) , , ,234, , , ,0, , , ,(802,) 
, , Springleaf Finance Corp., , ,5.000, , , ,09/20/2021, , , ,4.215, , , ,"4,400", , , ,232, , , ,(83,) , , ,149, , , ,0, 
CBK, , Credit Suisse Group Finance, , ,1.000, , , ,06/20/2017, , , ,0.504, , ,EUR,"3,500", , , ,7, , , ,3, , , ,10, , , ,0, 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , , ,"32,800", , , ,(472,) , , ,508, , , ,36, , , ,0, 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,2.378, , , ,"3,900", , , ,(280,) , , ,227, , , ,0, , , ,(53,) 
, , Indonesia Government International Bond, , ,1.000, , , ,03/20/2019, , , ,0.760, , ,$,"12,900", , , ,(268,) , , ,341, , , ,73, , , ,0, 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2019, , , ,3.483, , , ,"7,200", , , ,(484,) , , ,(13,) , , ,0, , , ,(497,) 
, , Royal Bank of Scotland PLC, , ,1.000, , , ,12/20/2018, , , ,1.677, , ,EUR,"2,700", , , ,(59,) , , ,22, , , ,0, , , ,(37,) 
, , Russia Government International Bond, , ,1.000, , , ,03/20/2019, , , ,0.691, , ,$,"49,313", , , ,"(1,304",) , , ,"1,658", , , ,354, , , ,0, 
, , Russia Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.814, , , ,"  138,700", , , ,"(4,550",) , , ,"5,233", , , ,683, , , ,0, 
, , Russia Government International Bond, , ,1.000, , , ,12/20/2020, , , ,1.403, , , ,"18,390", , , ,"(1,176",) , , ,901, , , ,0, , , ,(275,) 
, , Russia Government International Bond, , ,1.000, , , ,06/20/2024, , , ,2.248, , , ,"30,700", , , ,"(2,764",) , , ,290, , , ,0, , , ,"(2,474",) 
, , Russia Government International Bond, , ,1.000, , , ,09/20/2024, , , ,2.270, , , ,"26,300", , , ,"(1,903",) , , ,(311,) , , ,0, , , ,"(2,214",) 
, , Saudi Arabia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.130, , , ,"3,300", , , ,(20,) , , ,1, , , ,0, , , ,(19,) 
DUB, , Brazil Government International Bond, , ,1.000, , , ,09/20/2018, , , ,1.115, , , ,"15,400", , , ,(233,) , , ,209, , , ,0, , , ,(24,) 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.892, , , ,"17,000", , , ,9, , , ,42, , , ,51, , , ,0, 
, , Colombia Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.480, , , ,"3,250", , , ,(95,) , , ,30, , , ,0, , , ,(65,) 
, , Colombia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.632, , , ,"8,800", , , ,(312,) , , ,57, , , ,0, , , ,(255,) 
, , Indonesia Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.830, , , ,"13,800", , , ,(182,) , , ,244, , , ,62, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , , ,"10,500", , , ,(320,) , , ,58, , , ,0, , , ,(262,) 
, , South Africa Government International Bond, , ,1.000, , , ,12/20/2021, , , ,2.140, , , ,"19,100", , , ,"(1,267",) , , ,273, , , ,0, , , ,(994,) 
GST, , Brazil Government International Bond, , ,1.000, , , ,09/20/2018, , , ,1.115, , , ,"30,800", , , ,(468,) , , ,420, , , ,0, , , ,(48,) 
