,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2019, , , ,3.095, , , ,"2,300", , , ,(96,) , , ,(17,) , , ,0, , , ,(113,) 
JPM, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,06/20/2021, , , ,0.819, , , ,"21,300", , , ,(23,) , , ,196, , , ,173, , , ,0, 
, , Petroleos Mexicanos, , ,1.000, , , ,09/20/2020, , , ,2.488, , , ,"2,300", , , ,(88,) , , ,(31,) , , ,0, , , ,(119,) 
, , Volkswagen International Finance NV, , ,1.000, , , ,12/20/2020, , , ,0.842, , , ,"1,300", , , ,(79,) , , ,88, , , ,9, , , ,0, 
MYC, , Enterprise Products Operating LLC, , ,1.000, , , ,06/20/2021, , , ,1.248, , , ,"1,500", , , ,(40,) , , ,25, , , ,0, , , ,(15,) 
SOG, , Spain Government International Bond, , ,1.000, , , ,06/20/2021, , , ,0.666, , , ,"9,200", , , ,(89,) , , ,224, , , ,135, , , ,0, 
UAG, , China Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.080, , , ,"3,000", , , ,(24,) , , ,15, , , ,0, , , ,(9,) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,, ,,,, ,$,"(1,665",) , ,$,"1,029", , ,$,543, , ,$,"(1,179",) 
, ,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
