,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.407, , , ,"23,750", , , ,(609,) , , ,209, , , ,0, , , ,(400,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , , ,"17,700", , , ,(571,) , , ,129, , , ,0, , , ,(442,) 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2022, , , ,1.710, , , ,"9,900", , , ,(314,) , , ,(51,) , , ,0, , , ,(365,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,06/20/2020, , , ,3.905, , , ,"7,000", , , ,(606,) , , ,(43,) , , ,0, , , ,(649,) 
, , Spain Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.441, , , ,"50,000", , , ,100, , , ,601, , , ,701, , , ,0, 
, , Tesco PLC, , ,1.000, , , ,09/20/2019, , , ,1.079, , ,EUR,"2,500", , , ,13, , , ,(18,) , , ,0, , , ,(5,) 
, , Tesco PLC, , ,1.000, , , ,12/20/2019, , , ,1.150, , , ,"5,700", , , ,(19,) , , ,(5,) , , ,0, , , ,(24,) 
CBK, , Credit Suisse Group Finance, , ,1.000, , , ,06/20/2017, , , ,0.504, , , ,"4,700", , , ,9, , , ,5, , , ,14, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.913, , ,$,"13,400", , , ,(416,) , , ,444, , , ,28, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,03/20/2020, , , ,1.169, , , ,"114,500", , , ,109, , , ,(665,) , , ,0, , , ,(556,) 
, , Mexico Government International Bond, , ,1.000, , , ,03/20/2019, , , ,0.796, , , ,"15,400", , , ,30, , , ,45, , , ,75, , , ,0, 
, , South Africa Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.949, , , ,"1,000", , , ,(75,) , , ,36, , , ,0, , , ,(39,) 
, , Spain Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.441, , , ,"42,650", , , ,107, , , ,491, , , ,598, , , ,0, 
, , Spain Government International Bond, , ,1.000, , , ,03/20/2020, , , ,0.527, , , ,900, , , ,6, , , ,8, , , ,14, , , ,0, 
, , Spain Government International Bond, , ,1.000, , , ,06/20/2020, , , ,0.557, , , ,"1,600", , , ,14, , , ,11, , , ,25, , , ,0, 
, , Tesco PLC, , ,1.000, , , ,06/20/2019, , , ,0.992, , ,EUR,"7,500", , , ,(4,) , , ,9, , , ,5, , , ,0, 
DUB, , Brazil Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.648, , ,$,"10,500", , , ,(15,) , , ,37, , , ,22, , , ,0, 
, , Indonesia Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.560, , , ,"14,700", , , ,(424,) , , ,50, , , ,0, , , ,(374,) 
, , Italy Government International Bond, , ,1.000, , , ,03/20/2019, , , ,0.981, , , ,"39,000", , , ,(379,) , , ,410, , , ,31, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,06/20/2019, , , ,1.036, , , ,"    134,400", , , ,178, , , ,(243,) , , ,0, , , ,(65,) 
, , Italy Government International Bond, , ,1.000, , , ,09/20/2019, , , ,1.081, , , ,"70,100", , , ,(161,) , , ,38, , , ,0, , , ,(123,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.708, , , ,"2,500", , , ,0, , , ,15, , , ,15, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,03/20/2019, , , ,0.796, , , ,"19,400", , , ,(26,) , , ,120, , , ,94, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.407, , , ,"21,250", , , ,(543,) , , ,185, , , ,0, , , ,(358,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , , ,"12,750", , , ,(400,) , , ,82, , , ,0, , , ,(318,) 
, , Spain Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.441, , , ,"44,100", , , ,77, , , ,541, , , ,618, , , ,0, 
, , Tesco PLC, , ,1.000, , , ,06/20/2019, , , ,0.992, , ,EUR,"18,000", , , ,(20,) , , ,31, , , ,11, , , ,0, 
FBF, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,09/20/2020, , , ,0.699, , ,$,"5,800", , , ,0, , , ,65, , , ,65, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.407, , , ,"3,900", , , ,(102,) , , ,36, , , ,0, , , ,(66,) 
GST, , China Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.080, , , ,"9,500", , , ,(67,) , , ,38, , , ,0, , , ,(29,) 
, , Italy Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.913, , , ,"27,600", , , ,(727,) , , ,784, , , ,57, , , ,0, 
, , Italy Government International Bond, , ,1.000, , , ,03/20/2020, , , ,1.169, , , ,"55,000", , , ,53, , , ,(320,) , , ,0, , , ,(267,) 
, , Italy Government International Bond, , ,1.000, , , ,06/20/2020, , , ,1.214, , , ,"23,550", , , ,0, , , ,(158,) , , ,0, , , ,(158,) 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2021, , , ,1.407, , , ,"1,350", , , ,(36,) , , ,13, , , ,0, , , ,(23,) 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2021, , , ,1.545, , , ,"30,000", , , ,(980,) , , ,231, , , ,0, , , ,(749,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,09/20/2019, , , ,3.309, , , ,800, , , ,(27,) , , ,(21,) , , ,0, , , ,(48,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2019, , , ,3.483, , , ,700, , , ,(48,) , , ,0, , , ,0, , , ,(48,) 
, , Petroleos Mexicanos, , ,1.000, , , ,06/20/2021, , , ,2.796, , , ,"5,400", , , ,(469,) , , ,74, , , ,0, , , ,(395,) 
, , Tesco PLC, , ,1.000, , , ,09/20/2019, , , ,1.079, , ,EUR,"2,500", , , ,14, , , ,(19,) , , ,0, , , ,(5,) 
