,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ABX.HE.AAA.7-1 Index, , ,0.090, , , ,08/25/2037, , , ,"69,610", , , ,"(29,113",) , , ,"12,930", , , ,0, , , ,"(16,183",) 
, , ABX.HE.AAA.7-2 Index, , ,0.760, , , ,01/25/2038, , , ,"5,555", , , ,"(1,932",) , , ,109, , , ,0, , , ,"(1,823",) 
, , CMBX.NA.AAA.3 Index, , ,0.080, , , ,12/13/2049, , , ,"1,063", , , ,(37,) , , ,35, , , ,0, , , ,(2,) 
, , CMBX.NA.AAA.4 Index, , ,0.350, , , ,02/17/2051, , , ,"56,752", , , ,"(1,314",) , , ,"1,248", , , ,0, , , ,(66,) 
, , CMBX.NA.AAA.6 Index, , ,0.500, , , ,05/11/2063, , , ,"204,707", , , ,"(7,431",) , , ,"7,372", , , ,0, , , ,(59,) 
, , CMBX.NA.AAA.7 Index, , ,0.500, , , ,01/17/2047, , , ,"116,600", , , ,"(4,228",) , , ,"3,579", , , ,0, , , ,(649,) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"204,900", , , ,"(12,994",) , , ,"10,661", , , ,0, , , ,"(2,333",) 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"253,100", , , ,"(12,936",) , , ,"7,407", , , ,0, , , ,"(5,529",) 
, , CMBX.NA.AS.6 Index, , ,1.000, , , ,05/11/2063, , , ,"10,000", , , ,(9,) , , ,61, , , ,52, , , ,0, 
, , CMBX.NA.AS.9 Index, , ,1.000, , , ,09/17/2058, , , ,"25,000", , , ,"(1,882",) , , ,"1,520", , , ,0, , , ,(362,) 
HUS, , CDX.EM-17 5-Year Index, , ,5.000, , , ,06/20/2017, , , ,"22,750", , , ,227, , , ,(104,) , , ,123, , , ,0, 
JPM, , ABX.HE.AA.6-2 Index, , ,0.170, , , ,05/25/2046, , , ,969, , , ,(407,) , , ,(3,) , , ,0, , , ,(410,) 
, , ABX.HE.AA.7-1 Index, , ,0.150, , , ,08/25/2037, , , ,150, , , ,(91,) , , ,43, , , ,0, , , ,(48,) 
, , ABX.HE.AA.7-2 Index, , ,1.920, , , ,01/25/2038, , , ,150, , , ,(84,) , , ,(35,) , , ,0, , , ,(119,) 
, , ABX.HE.AAA.7-1 Index, , ,0.090, , , ,08/25/2037, , , ,"14,353", , , ,"(8,055",) , , ,"4,718", , , ,0, , , ,"(3,337",) 
, , CMBX.NA.AAA.4 Index, , ,0.350, , , ,02/17/2051, , , ,"30,993", , , ,"(1,181",) , , ,"1,145", , , ,0, , , ,(36,) 
JPS, , CMBX.NA.AAA.7 Index, , ,0.500, , , ,01/17/2047, , , ,"100,600", , , ,"(4,532",) , , ,"3,972", , , ,0, , , ,(560,) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"  588,800", , , ,"(35,350",) , , ,"28,647", , , ,0, , , ,"(6,703",) 
MEI, , ABX.HE.AAA.6-2 Index, , ,0.110, , , ,05/25/2046, , , ,"16,013", , , ,"(3,180",) , , ,"1,059", , , ,0, , , ,"(2,121",) 
, , CMBX.NA.AAA.6 Index, , ,0.500, , , ,05/11/2063, , , ,"8,151", , , ,(329,) , , ,327, , , ,0, , , ,(2,) 
, , CMBX.NA.AAA.7 Index, , ,0.500, , , ,01/17/2047, , , ,"48,800", , , ,"(2,567",) , , ,"2,296", , , ,0, , , ,(271,) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"145,500", , , ,"(9,443",) , , ,"7,787", , , ,0, , , ,"(1,656",) 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"158,400", , , ,"(12,402",) , , ,"8,942", , , ,0, , , ,"(3,460",) 
MYC, , ABX.HE.AAA.6-2 Index, , ,0.110, , , ,05/25/2046, , , ,"14,932", , , ,"(3,010",) , , ,"1,032", , , ,0, , , ,"(1,978",) 
, , ABX.HE.AAA.7-1 Index, , ,0.090, , , ,08/25/2037, , , ,"22,964", , , ,"(12,889",) , , ,"7,550", , , ,0, , , ,"(5,339",) 
, , ABX.HE.AAA.7-2 Index, , ,0.760, , , ,01/25/2038, , , ,"13,886", , , ,"(7,897",) , , ,"3,340", , , ,0, , , ,"(4,557",) 
, , CMBX.NA.AAA.3 Index, , ,0.080, , , ,12/13/2049, , , ,"9,935", , , ,(141,) , , ,121, , , ,0, , , ,(20,) 
, , CMBX.NA.AAA.4 Index, , ,0.350, , , ,02/17/2051, , , ,"176,524", , , ,"(5,817",) , , ,"5,612", , , ,0, , , ,(205,) 
, , CMBX.NA.AAA.6 Index, , ,0.500, , , ,05/11/2063, , , ,"176,916", , , ,"(4,868",) , , ,"4,817", , , ,0, , , ,(51,) 
, , CMBX.NA.AAA.7 Index, , ,0.500, , , ,01/17/2047, , , ,"127,000", , , ,"(4,348",) , , ,"3,642", , , ,0, , , ,(706,) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"64,900", , , ,"(4,510",) , , ,"3,771", , , ,0, , , ,(739,) 
, , CMBX.NA.AAA.9 Index, , ,0.500, , , ,09/17/2058, , , ,"9,000", , , ,(895,) , , ,698, , , ,0, , , ,(197,) 
, , CMBX.NA.AS.6 Index, , ,1.000, , , ,05/11/2063, , , ,"18,700", , , ,(682,) , , ,778, , , ,96, , , ,0, 
SAL, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"41,200", , , ,"(2,256",) , , ,"1,787", , , ,0, , , ,(469,) 
UAG, , CMBX.NA.AAA.6 Index, , ,0.500, , , ,05/11/2063, , , ,"57,473", , , ,"(2,104",) , , ,"2,088", , , ,0, , , ,(16,) 
, , CMBX.NA.AAA.7 Index, , ,0.500, , , ,01/17/2047, , , ,"18,400", , , ,(820,) , , ,718, , , ,0, , , ,(102,) 
, , CMBX.NA.AAA.8 Index, , ,0.500, , , ,10/17/2057, , , ,"52,000", , , ,"(3,102",) , , ,"2,510", , , ,0, , , ,(592,) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,, ,,,, ,,,, ,,,, ,$,"  (674,313",) , ,$,"  431,543", , ,$,"  1,179", , ,$,"  (243,949",) 
, ,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
