,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.467, , ,,,, , ,"5,000", , , ,(16,) , , ,37, , , ,21, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,12/20/2018, , , ,0.708, , ,,,, , ,"88,200", , , ,(91,) , , ,627, , , ,536, , , ,0, 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2019, , , ,3.483, , ,,,, , ,"8,300", , , ,(926,) , , ,353, , , ,0, , , ,(573,) 
CBK, ," California State General Obligation Bonds, Series 2003", , ,1.000, , , ,06/20/2024, , , ,1.086, , ,,,, , ,"10,000", , , ,19, , , ,(71,) , , ,0, , , ,(52,) 
, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , , ,EUR, , , ,"4,600", , , ,(51,) , , ,56, , , ,5, , , ,0, 
, ," Florida State Board of Education General Obligation Notes, Series 2005", , ,0.470, , , ,03/20/2018, , , ,0.037, , , ,$, , , ,"10,000", , , ,0, , , ,39, , , ,39, , , ,0, 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,12/20/2020, , , ,0.725, , ,,,, , ,"23,500", , , ,63, , , ,193, , , ,256, , , ,0, 
, , Morgan Stanley, , ,1.000, , , ,12/20/2020, , , ,0.714, , ,,,, , ,"20,000", , , ,(38,) , , ,264, , , ,226, , , ,0, 
, , Royal Bank of Scotland PLC, , ,1.000, , , ,12/20/2017, , , ,0.670, , , ,EUR, , , ,"18,900", , , ,36, , , ,36, , , ,72, , , ,0, 
DUB, , Colombia Government International Bond, , ,1.000, , , ,06/20/2019, , , ,0.892, , , ,$, , , ,"45,000", , , ,150, , , ,(14,) , , ,136, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,03/20/2017, , , ,0.362, , ,,,, , ,"15,000", , , ,(7,) , , ,34, , , ,27, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.467, , ,,,, , ,"46,700", , , ,(111,) , , ,310, , , ,199, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,03/20/2019, , , ,0.796, , ,,,, , ,"5,200", , , ,7, , , ,18, , , ,25, , , ,0, 
FBF, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,12/20/2020, , , ,0.725, , ,,,, , ,"11,500", , , ,(34,) , , ,159, , , ,125, , , ,0, 
, , Morgan Stanley, , ,1.000, , , ,12/20/2020, , , ,0.714, , ,,,, , ,"25,000", , , ,(38,) , , ,321, , , ,283, , , ,0, 
GST, , Bank of America Corp., , ,1.000, , , ,12/20/2020, , , ,0.605, , ,,,, , ,"40,000", , , ,99, , , ,521, , , ,620, , , ,0, 
, ," California State General Obligation Bonds, Series 2003", , ,1.000, , , ,06/20/2024, , , ,1.086, , ,,,, , ,"85,000", , , ,216, , , ,(658,) , , ,0, , , ,(442,) 
, ," Citigroup, Inc.", , ,1.000, , , ,12/20/2020, , , ,0.612, , ,,,, , ,"40,000", , , ,36, , , ,575, , , ,611, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.409, , ,,,, , ,"3,300", , , ,(11,) , , ,22, , , ,11, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.467, , ,,,, , ,"10,000", , , ,(22,) , , ,65, , , ,43, , , ,0, 
, , Morgan Stanley, , ,1.000, , , ,12/20/2020, , , ,0.714, , ,,,, , ,"12,700", , , ,(40,) , , ,184, , , ,144, , , ,0, 
, ," Ohio State General Obligation Bonds, Series 2007", , ,1.000, , , ,09/20/2024, , , ,0.906, , ,,,, , ,"10,000", , , ,86, , , ,(19,) , , ,67, , , ,0, 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2019, , , ,3.483, , ,,,, , ,"11,400", , , ,(750,) , , ,(37,) , , ,0, , , ,(787,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,03/20/2020, , , ,3.710, , ,,,, , ,100, , , ,(10,) , , ,2, , , ,0, , , ,(8,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,09/20/2020, , , ,4.072, , ,,,, , ,"10,000", , , ,"(1,617",) , , ,576, , , ,0, , , ,"(1,041",) 
HUS, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2019, , , ,3.483, , ,,,, , ,"2,400", , , ,(137,) , , ,(29,) , , ,0, , , ,(166,) 
, , Petrobras Global Finance BV, , ,1.000, , , ,03/20/2020, , , ,3.710, , ,,,, , ,"5,200", , , ,(613,) , , ,192, , , ,0, , , ,(421,) 
, , U.S. Treasury Notes, , ,0.250, , , ,12/20/2018, , , ,0.183, , , ,EUR, , , ,"25,000", , , ,(37,) , , ,75, , , ,38, , , ,0, 
JPM, , Deutsche Bank AG, , ,1.000, , , ,12/20/2017, , , ,0.934, , ,,,, , ,"1,700", , , ,(22,) , , ,24, , , ,2, , , ,0, 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,12/20/2020, , , ,0.725, , , ,$, , , ,"69,900", , , ,(103,) , , ,865, , , ,762, , , ,0, 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,06/20/2021, , , ,0.819, , ,,,, , ,"22,500", , , ,(24,) , , ,207, , , ,183, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.409, , ,,,, , ,400, , , ,(1,) , , ,2, , , ,1, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.467, , ,,,, , ,"25,000", , , ,(50,) , , ,157, , , ,107, , , ,0, 
, , Morgan Stanley, , ,1.000, , , ,12/20/2020, , , ,0.714, , ,,,, , ,"50,000", , , ,0, , , ,566, , , ,566, , , ,0, 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2019, , , ,3.483, , ,,,, , ,"8,800", , , ,(612,) , , ,4, , , ,0, , , ,(608,) 
MBC, , Mexico Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.409, , ,,,, , ,"11,700", , , ,51, , , ,(14,) , , ,37, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.467, , ,,,, , ,"48,500", , , ,269, , , ,(62,) , , ,207, , , ,0, 
MYC, ," California State General Obligation Bonds, Series 2003", , ,1.000, , , ,06/20/2024, , , ,1.086, , ,,,, , ,"10,000", , , ,13, , , ,(65,) , , ,0, , , ,(52,) 
, ," Goldman Sachs Group, Inc.", , ,1.000, , , ,12/20/2020, , , ,0.725, , ,,,, , ,"5,000", , , ,(13,) , , ,68, , , ,55, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,03/20/2017, , , ,0.362, , ,,,, , ,"5,000", , , ,(2,) , , ,11, , , ,9, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,06/20/2017, , , ,0.409, , ,,,, , ,"10,600", , , ,(38,) , , ,72, , , ,34, , , ,0, 
, , Mexico Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.467, , ,,,, , ,"25,000", , , ,(50,) , , ,157, , , ,107, , , ,0, 
, , Petrobras Global Finance BV, , ,1.000, , , ,12/20/2019, , , ,3.483, , ,,,, , ,"94,500", , , ,"(5,420",) , , ,"(1,107",) , , ,0, , , ,"(6,527",) 
SOG, , Royal Bank of Scotland PLC, , ,1.000, , , ,12/20/2017, , , ,0.670, , , ,EUR, , , ,"7,100", , , ,19, , , ,8, , , ,27, , , ,0, 
UAG, , Mexico Government International Bond, , ,1.000, , , ,09/20/2017, , , ,0.467, , , ,$, , , ,"10,000", , , ,(20,) , , ,63, , , ,43, , , ,0, 
, ,, ,,,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
, ,,,, ,,,, ,,,, ,,,, ,,,, ,$,"(16,317",) , ,$,"9,825", , ,$,"8,981", , ,$,"(15,473",) 
, ,, ,,,, ,,,, ,,,, ,,,, ,,,, ,  ,  , , ,  ,  , , ,  ,  , , ,  ,  , 
